id_transaksi,tanggal,nama_pelanggan,produk,kategori_produk,jumlah,harga_satuan,total_harga,diskon_persen,biaya_pengiriman,total_akhir,metode_pembayaran,kota,rating_pelanggan,status_pengiriman,channel_penjualan
16,2025-10-17,Dewi,"Lotion Vaseline",Kecantikan,1,59329,59329,20,30079,77542.2,"Kartu Kredit",Bekasi,4.9,Dikirim,Marketplace
17,2025-10-07,Lusi,"Blender Philips",Elektronik,2,9294770,18589500,10,13783,16744400,Debit,Surabaya,4.2,Selesai,Website
18,2025-10-11,Siti,"Air Mineral 6L",Groceries,4,196218,784872,5,12046,757674,COD,Tangerang,4,Selesai,"Mobile App"
19,2025-10-22,Dewanto,"Topi Baseball",Fashion,2,70366,140732,0,19345,160077,E-Wallet,Tangerang,4.9,Selesai,Website
20,2025-10-23,Asep,"Telur 1kg",Groceries,2,18748,37496,10,32920,66666.4,COD,Tangerang,4.4,Selesai,"Mobile App"
21,2025-10-16,Dewanto,"Masker Naturgo",Kecantikan,4,292916,1171660,10,23191,1077690,Debit,Bali,4.7,Selesai,Website
22,2025-10-14,Mega,"Jam Tangan Casio",Fashion,2,271666,543332,15,43313,505145,COD,Jakarta,3.9,Selesai,Website
23,2025-10-31,Rifki,"Susu UHT 1L",Groceries,4,122316,489264,0,45055,534319,"Kartu Kredit",Tangerang,4.9,Selesai,"Mobile App"
24,2025-10-25,Putra,"Beras 5kg",Groceries,2,119752,239504,0,35904,275408,Debit,Bekasi,4.7,Selesai,"Mobile App"
25,2025-10-31,Hendra,"Sendal Adidas",Fashion,4,164851,659404,15,32469,592962,"Kartu Kredit",Medan,4,Selesai,Marketplace
26,2025-10-03,Rifki,"Smartwatch Xiaomi",Elektronik,5,7973800,39869000,20,34080,31929300,"Kartu Kredit",Surabaya,3.9,Dikirim,"Mobile App"
27,2025-10-05,Gina,"Sabun Cuci",Groceries,5,241301,1206500,5,49584,1195760,Debit,Tangerang,4.7,Dibatalkan,Website
28,2025-10-19,Fauzan,"Sabun Muka Garnier",Kecantikan,4,82545,330180,5,29520,343191,E-Wallet,Tangerang,4.5,Selesai,Marketplace
29,2025-10-19,Eka,"Laptop Asus",Elektronik,1,1689550,1689550,5,45472,1650550,E-Wallet,Tangerang,3.8,Pending,"Mobile App"
30,2025-10-23,Dewanto,"Masker Naturgo",Kecantikan,3,249873,749619,5,45080,757218,COD,Tangerang,4.7,Selesai,Marketplace
31,2025-10-20,Adit,"Lipstik Wardah",Kecantikan,4,295374,1181500,0,32903,1214400,Debit,Jakarta,3.8,Selesai,Website
32,2025-10-14,Desi,"Sabun Muka Garnier",Kecantikan,3,84817,254451,5,32545,274273,E-Wallet,Depok,4.3,Dikirim,"Mobile App"
33,2025-10-18,Mega,"Tepung Terigu 1kg",Groceries,2,11421,22842,0,39565,62407,COD,Medan,4.3,Selesai,Website
34,2025-10-01,Hendra,"Jam Tangan Casio",Fashion,1,103485,103485,25,20019,97632.8,"Kartu Kredit",Bandung,4.8,Dibatalkan,"Mobile App"
35,2025-10-21,Nadia,"Jaket Hoodie",Fashion,5,21720,108600,5,49334,152504,E-Wallet,Bekasi,3.7,Dikirim,"Mobile App"
36,2025-10-25,Asep,"Blender Philips",Elektronik,2,12749900,25499900,20,29684,20429600,E-Wallet,Depok,4.8,Selesai,Marketplace
37,2025-10-02,Tono,"Sabun Cuci",Groceries,3,278713,836139,0,29172,865311,Debit,Surabaya,4.8,Dikirim,Marketplace
38,2025-10-03,Asep,"Tas Kulit",Fashion,2,174765,349530,0,45900,395430,Debit,Tangerang,4.3,Selesai,Website
39,2025-10-25,Mega,"Kamera Canon EOS",Elektronik,4,9254430,37017700,5,30624,35197500,Debit,Medan,4.9,Selesai,Website
40,2025-10-20,Budi,"Sepatu Nike Air",Fashion,1,28237,28237,5,23019,49844.1,E-Wallet,Bali,4.2,Selesai,"Mobile App"
41,2025-10-26,Dewi,"Celana Jeans",Fashion,5,138507,692535,5,12192,670100,COD,Medan,4,Selesai,"Mobile App"
42,2025-10-23,Rina,"Telur 1kg",Groceries,5,114528,572640,0,20803,593443,Debit,Medan,4.1,Selesai,Website
43,2025-10-17,Miko,"Pasta Gigi",Groceries,3,55582,166746,0,28962,195708,Debit,Tangerang,3.9,Selesai,Website
44,2025-10-17,Rara,"Tas Kulit",Fashion,2,257768,515536,5,49696,539455,COD,Bekasi,5,Selesai,Marketplace
45,2025-10-05,Putra,"Blender Philips",Elektronik,4,1749870,6999480,0,49233,7048720,Debit,Medan,4.6,Dibatalkan,"Mobile App"
46,2025-10-11,Tari,"Parfum Dior",Kecantikan,5,256255,1281280,10,15044,1168190,"Kartu Kredit",Bekasi,4.2,Dikirim,Website
47,2025-10-19,Dina,"Gula Pasir 1kg",Groceries,4,249790,999160,5,28237,977439,E-Wallet,Bekasi,4.3,Selesai,"Mobile App"
48,2025-10-06,Vina,"Tepung Terigu 1kg",Groceries,1,164982,164982,5,26087,182820,Debit,Tangerang,4.3,Selesai,"Mobile App"
49,2025-10-21,Dina,"iPhone 15",Elektronik,4,11689200,46756700,0,23694,46780400,E-Wallet,Bali,4,Dikirim,"Mobile App"
50,2025-10-07,Dewanto,"Speaker JBL",Elektronik,5,13061500,65307600,5,43781,62086000,COD,Bali,4.8,Selesai,"Mobile App"
51,2025-10-02,Adit,"Gula Pasir 1kg",Groceries,3,287969,863907,0,49627,913534,Debit,Bandung,4.2,Selesai,Marketplace
52,2025-10-10,Rara,"Serum Wajah",Kecantikan,5,184488,922440,15,20011,804085,"Kartu Kredit",Tangerang,3.6,Dibatalkan,"Mobile App"
53,2025-10-21,Ahmad,"Laptop Asus",Elektronik,5,3289820,16449100,20,42797,13202100,"Kartu Kredit",Bekasi,3.7,Dibatalkan,Website
54,2025-10-23,Fajar,"Lotion Vaseline",Kecantikan,3,225827,677481,15,33675,609534,"Kartu Kredit",Bandung,4.2,Selesai,"Mobile App"
55,2025-10-07,Citra,"iPhone 15",Elektronik,2,1575040,3150070,5,46552,3039120,Debit,Bekasi,4,Selesai,"Mobile App"
56,2025-10-24,Tari,"Sepatu Nike Air",Fashion,3,70125,210375,0,41927,252302,"Kartu Kredit",Jakarta,4,Selesai,Marketplace
57,2025-10-27,Tono,"Parfum Dior",Kecantikan,4,221587,886348,5,14292,856323,"Kartu Kredit",Bandung,4.1,Dikirim,"Mobile App"
58,2025-10-02,Miko,"Kemeja Putih",Fashion,5,66310,331550,5,23167,338140,E-Wallet,Bali,4.8,Selesai,Website
59,2025-10-20,Rara,"iPhone 15",Elektronik,4,7276740,29107000,10,38904,26235200,Debit,Bekasi,3.9,Selesai,"Mobile App"
60,2025-10-04,Vina,"Telur 1kg",Groceries,5,151503,757515,5,18838,738477,E-Wallet,Bandung,3.8,Selesai,Website
61,2025-10-31,Hendra,"Sabun Muka Garnier",Kecantikan,4,172194,688776,5,17006,671343,COD,Bali,4.5,Selesai,"Mobile App"
62,2025-10-25,Asep,"Sabun Muka Garnier",Kecantikan,3,258265,774795,10,23364,720680,E-Wallet,Depok,4,Dikirim,Website
63,2025-10-06,Fauzan,"Tas Kulit",Fashion,5,123920,619600,5,28130,616750,COD,Jakarta,4.8,Dibatalkan,"Mobile App"
64,2025-10-06,Tari,"Sweater Rajut",Fashion,2,210043,420086,15,38637,395710,Debit,Bekasi,4.7,Selesai,"Mobile App"
65,2025-10-13,Tono,"Hair Dryer Philips",Kecantikan,1,68496,68496,15,26331,84552.6,"Kartu Kredit",Bandung,4.7,Selesai,"Mobile App"
66,2025-10-29,Wulan,"Gula Pasir 1kg",Groceries,3,108512,325536,10,28324,321306,Debit,Tangerang,4,Selesai,"Mobile App"
67,2025-10-07,Edo,"Eyeliner Revlon",Kecantikan,4,298740,1194960,5,11481,1146690,E-Wallet,Tangerang,3.7,Selesai,"Mobile App"
68,2025-10-05,Budi,"Smartwatch Xiaomi",Elektronik,4,13545400,54181800,0,13434,54195200,COD,Jakarta,4.5,Selesai,Website
69,2025-10-05,Lusi,"Smartwatch Xiaomi",Elektronik,2,3811290,7622580,0,22693,7645280,E-Wallet,Jakarta,4,Selesai,"Mobile App"
70,2025-10-15,Rina,"Headset Sony",Elektronik,5,10982800,54914000,20,10998,43942200,COD,Bekasi,3.7,Selesai,"Mobile App"
71,2025-10-08,Dewanto,"Pasta Gigi",Groceries,3,72720,218160,5,47568,254820,Debit,Jakarta,4.6,Dikirim,Website
72,2025-10-27,Tono,"Sepatu Nike Air",Fashion,2,92273,184546,0,25378,209924,COD,Jakarta,3.5,Dibatalkan,Website
73,2025-10-06,Putri,"Pasta Gigi",Groceries,2,249833,499666,10,25190,474889,"Kartu Kredit",Jakarta,4.1,Selesai,Marketplace
74,2025-10-23,Ahmad,"Tas Kulit",Fashion,1,107307,107307,5,44639,146581,Debit,Jakarta,4.6,Dibatalkan,"Mobile App"
75,2025-10-31,Nina,"Beras 5kg",Groceries,1,168939,168939,10,28283,180328,E-Wallet,Tangerang,4.9,Pending,"Mobile App"
76,2025-10-15,Vina,"Eyeliner Revlon",Kecantikan,4,218010,872040,10,19835,804671,E-Wallet,Bali,4.8,Selesai,"Mobile App"
77,2025-10-08,Bella,"Sweater Rajut",Fashion,2,45520,91040,0,16732,107772,"Kartu Kredit",Tangerang,4.1,Dikirim,"Mobile App"
78,2025-10-15,Eka,"Printer Canon",Elektronik,5,7092110,35460600,5,12863,33700400,Debit,Depok,3.9,Dikirim,Website
79,2025-10-19,Tono,"Shampo Pantene",Kecantikan,5,107083,535415,0,19199,554614,Debit,Bali,4,Selesai,"Mobile App"
80,2025-10-20,Gina,"Lipstik Wardah",Kecantikan,5,63600,318000,0,44765,362765,"Kartu Kredit",Medan,4.4,Selesai,"Mobile App"
81,2025-10-30,Putri,"Parfum Dior",Kecantikan,3,254236,762708,0,46729,809437,"Kartu Kredit",Jakarta,3.7,Dikirim,Marketplace
82,2025-10-17,Tono,"Pasta Gigi",Groceries,4,70768,283072,0,17637,300709,"Kartu Kredit",Bali,4.6,Dikirim,Website
83,2025-10-20,Bella,"Sendal Adidas",Fashion,2,55171,110342,0,47868,158210,Debit,Tangerang,3.9,Selesai,Marketplace
84,2025-10-26,Miko,"Eyeliner Revlon",Kecantikan,2,154424,308848,10,37452,315415,E-Wallet,Bali,4.1,Selesai,Website
85,2025-10-24,Fani,"Speaker JBL",Elektronik,3,10832700,32498100,15,46489,27669900,"Kartu Kredit",Medan,3.7,Selesai,"Mobile App"
86,2025-10-31,Tia,"Lipstik Wardah",Kecantikan,1,125419,125419,0,39613,165032,E-Wallet,Bekasi,4.6,Selesai,"Mobile App"
87,2025-10-03,Edo,"Serum Wajah",Kecantikan,5,133203,666015,0,33951,699966,E-Wallet,Medan,4.7,Selesai,Marketplace
88,2025-10-21,Yusuf,"Pasta Gigi",Groceries,1,196142,196142,25,31527,178634,COD,Surabaya,4.8,Selesai,"Mobile App"
89,2025-10-04,Hendra,"Blender Philips",Elektronik,2,8817410,17634800,0,42551,17677400,E-Wallet,Surabaya,5,Selesai,Marketplace
90,2025-10-23,Ahmad,"Beras 5kg",Groceries,5,87246,436230,10,34632,427239,"Kartu Kredit",Bali,4.1,Dibatalkan,Website
91,2025-10-01,Putri,"Shampo Pantene",Kecantikan,4,174893,699572,0,32749,732321,Debit,Bali,4.1,Pending,"Mobile App"
92,2025-10-02,Nando,"Kemeja Putih",Fashion,4,44180,176720,5,32120,200004,E-Wallet,Bali,4.2,Selesai,"Mobile App"
93,2025-10-28,Lusi,"Kaos Polos",Fashion,4,198612,794448,0,18766,813214,COD,Depok,3.6,Selesai,Marketplace
94,2025-10-15,Putra,"Tepung Terigu 1kg",Groceries,2,289226,578452,0,16826,595278,E-Wallet,Tangerang,4.7,Dikirim,"Mobile App"
95,2025-10-13,Dewanto,"Air Mineral 6L",Groceries,3,226111,678333,0,47496,725829,"Kartu Kredit",Medan,4.6,Dikirim,"Mobile App"
96,2025-10-01,Dewanto,"Lotion Vaseline",Kecantikan,3,254442,763326,0,47792,811118,Debit,Tangerang,4.8,Selesai,Website
97,2025-10-23,Budi,"Headset Sony",Elektronik,4,14560900,58243800,10,19879,52439300,Debit,Jakarta,4.5,Selesai,Marketplace
98,2025-10-12,Arif,"Lipstik Wardah",Kecantikan,1,127298,127298,0,41889,169187,COD,Medan,4.5,Dikirim,Website
99,2025-10-21,Yoga,"Lotion Vaseline",Kecantikan,5,110593,552965,5,47084,572401,"Kartu Kredit",Jakarta,4.3,Selesai,"Mobile App"
100,2025-10-30,Eka,"Speaker JBL",Elektronik,3,10338400,31015100,25,38803,23300100,E-Wallet,Surabaya,3.8,Dikirim,"Mobile App"
101,2025-10-03,Dina,"Blender Philips",Elektronik,5,4430640,22153200,25,37813,16652700,Debit,Bekasi,4.7,Selesai,"Mobile App"
102,2025-10-26,Dina,"Lotion Vaseline",Kecantikan,5,88659,443295,5,33865,454995,"Kartu Kredit",Bali,3.7,Selesai,"Mobile App"
103,2025-10-30,Dina,"Kemeja Putih",Fashion,4,236027,944108,0,21926,966034,COD,Bali,3.5,Pending,"Mobile App"
104,2025-10-29,Rizky,"Telur 1kg",Groceries,1,183557,183557,5,24984,199363,Debit,Medan,4.2,Selesai,Marketplace
105,2025-10-22,Ahmad,"Kipas Angin Miyako",Elektronik,1,2150210,2150210,10,37261,1972450,"Kartu Kredit",Tangerang,4.9,Selesai,"Mobile App"
106,2025-10-29,Gina,"Lotion Vaseline",Kecantikan,4,122292,489168,5,39722,504432,Debit,Depok,4.4,Dikirim,Website
107,2025-10-20,Rina,"Smartwatch Xiaomi",Elektronik,5,11991600,59957800,0,49755,60007500,COD,Surabaya,3.9,Dikirim,Marketplace
108,2025-10-03,Citra,"Telur 1kg",Groceries,1,274155,274155,0,10130,284285,E-Wallet,Depok,3.7,Selesai,"Mobile App"
109,2025-10-02,Nando,"Serum Wajah",Kecantikan,3,28936,86808,15,13318,87104.8,E-Wallet,Bekasi,4.9,Selesai,"Mobile App"
110,2025-10-30,Fauzan,"Gula Pasir 1kg",Groceries,5,176476,882380,5,12646,850907,"Kartu Kredit",Bali,3.9,Selesai,Website
111,2025-10-16,Tari,"Sendal Adidas",Fashion,4,25834,103336,0,19883,123219,Debit,Bandung,4.7,Selesai,"Mobile App"
112,2025-10-07,Eka,"Smartwatch Xiaomi",Elektronik,1,6607210,6607210,0,36226,6643440,Debit,Jakarta,3.5,Selesai,Website
113,2025-10-02,Tono,"Masker Naturgo",Kecantikan,1,229254,229254,5,45627,263418,"Kartu Kredit",Bekasi,3.9,Dikirim,Marketplace
114,2025-10-02,Nina,"Pasta Gigi",Groceries,2,214479,428958,10,45186,431248,"Kartu Kredit",Depok,4.4,Selesai,Website
115,2025-10-26,Citra,"Topi Baseball",Fashion,4,138565,554260,5,10797,537344,"Kartu Kredit",Jakarta,4,Selesai,Website
116,2025-10-05,Ridwan,"Air Mineral 6L",Groceries,2,237067,474134,5,33507,483934,COD,Bali,4.5,Selesai,Website
117,2025-10-13,Nando,"iPhone 15",Elektronik,1,13825500,13825500,0,27609,13853100,"Kartu Kredit",Depok,3.7,Selesai,"Mobile App"
118,2025-10-11,Tari,"Shampo Pantene",Kecantikan,4,54953,219812,0,26692,246504,COD,Bandung,4.8,Selesai,"Mobile App"
119,2025-10-23,Budi,"Kopi Bubuk 1kg",Groceries,3,127845,383535,5,16587,380945,E-Wallet,Bali,3.8,Dikirim,Website
120,2025-10-11,Rizky,"Jam Tangan Casio",Fashion,4,185939,743756,0,40431,784187,Debit,Bekasi,4.6,Selesai,"Mobile App"
121,2025-10-18,Sari,"Sabun Muka Garnier",Kecantikan,3,251019,753057,0,20273,773330,COD,Bandung,3.8,Dikirim,"Mobile App"
122,2025-10-06,Budi,"Telur 1kg",Groceries,4,188482,753928,10,44097,722632,E-Wallet,Bekasi,3.7,Dikirim,"Mobile App"
123,2025-10-12,Rifki,"Headset Sony",Elektronik,3,3150140,9450410,5,42742,9020630,E-Wallet,Bali,4.9,Selesai,Marketplace
124,2025-10-22,Farah,"Lotion Vaseline",Kecantikan,4,22276,89104,5,47204,131853,E-Wallet,Surabaya,4.8,Pending,"Mobile App"
125,2025-10-30,Mega,"Kopi Bubuk 1kg",Groceries,1,180309,180309,10,49683,211961,COD,Medan,3.7,Selesai,Website
126,2025-10-30,Rara,"Smartwatch Xiaomi",Elektronik,5,8825750,44128700,20,17832,35320800,Debit,Bandung,4.4,Selesai,Marketplace
127,2025-10-21,Fani,"TV Samsung 43 Inch",Elektronik,3,2206900,6620700,0,11512,6632210,Debit,Medan,4.2,Selesai,Marketplace
128,2025-10-11,Vina,"Jaket Hoodie",Fashion,3,277076,831228,0,43728,874956,Debit,Bali,4.2,Selesai,"Mobile App"
129,2025-10-02,Miko,"Tas Kulit",Fashion,1,299025,299025,5,32665,316739,COD,Tangerang,3.7,Selesai,"Mobile App"
130,2025-10-10,Bayu,"Pasta Gigi",Groceries,3,164679,494037,25,30412,400940,COD,Medan,4.7,Selesai,"Mobile App"
131,2025-10-18,Eka,"Sweater Rajut",Fashion,4,179452,717808,0,11138,728946,"Kartu Kredit",Bandung,4.5,Selesai,Website
132,2025-10-15,Rara,"Susu UHT 1L",Groceries,1,229071,229071,25,42636,214439,COD,Bandung,4.8,Selesai,Marketplace
133,2025-10-06,Nando,"Shampo Pantene",Kecantikan,4,150434,601736,0,48646,650382,E-Wallet,Medan,4.8,Selesai,"Mobile App"
134,2025-10-17,Yusuf,"iPhone 15",Elektronik,4,2465190,9860760,20,12588,7901190,E-Wallet,Bekasi,4.9,Selesai,"Mobile App"
135,2025-10-28,Agus,"Topi Baseball",Fashion,1,103360,103360,5,27655,125847,E-Wallet,Bekasi,3.9,Dikirim,"Mobile App"
136,2025-10-19,Nando,"Lotion Vaseline",Kecantikan,1,89150,89150,5,28575,113268,Debit,Depok,4.8,Selesai,"Mobile App"
137,2025-10-30,Rian,"Kopi Bubuk 1kg",Groceries,3,265083,795249,0,31767,827016,COD,Bali,4.6,Selesai,"Mobile App"
138,2025-10-14,Lina,"Air Mineral 6L",Groceries,3,20293,60879,5,17296,75131,E-Wallet,Bali,4.6,Dikirim,"Mobile App"
139,2025-10-18,Maya,"Beras 5kg",Groceries,1,27795,27795,20,19784,42020,E-Wallet,Bandung,3.6,Dikirim,"Mobile App"
140,2025-10-22,Farah,"Sabun Cuci",Groceries,4,61609,246436,0,31616,278052,Debit,Tangerang,4.5,Dikirim,Website
141,2025-10-15,Anita,"Sabun Cuci",Groceries,3,193229,579687,5,20677,571380,Debit,Medan,4.6,Selesai,"Mobile App"
142,2025-10-10,Tia,"Eyeliner Revlon",Kecantikan,5,232388,1161940,0,13396,1175340,Debit,Depok,4.8,Selesai,"Mobile App"
143,2025-10-18,Lusi,"Gula Pasir 1kg",Groceries,1,13754,13754,5,32527,45593.3,Debit,Bali,4.4,Selesai,Website
144,2025-10-24,Arif,"Sweater Rajut",Fashion,1,38720,38720,5,17622,54406,COD,Bali,4.5,Selesai,"Mobile App"
145,2025-10-11,Mega,"Lipstik Wardah",Kecantikan,5,59516,297580,0,47196,344776,"Kartu Kredit",Bandung,4.2,Selesai,"Mobile App"
146,2025-10-17,Eka,"Hair Dryer Philips",Kecantikan,5,209481,1047400,25,25838,811392,E-Wallet,Surabaya,3.5,Selesai,"Mobile App"
147,2025-10-24,Maya,"Topi Baseball",Fashion,1,267010,267010,5,20266,273926,"Kartu Kredit",Bandung,4.9,Selesai,"Mobile App"
148,2025-10-04,Dewanto,"Laptop Asus",Elektronik,1,10156300,10156300,0,43367,10199700,COD,Bekasi,3.8,Dikirim,Website
149,2025-10-13,Rizky,"Speaker JBL",Elektronik,3,9136160,27408500,20,24389,21951200,COD,Tangerang,4.2,Selesai,"Mobile App"
150,2025-10-26,Adit,"Kamera Canon EOS",Elektronik,2,1346110,2692220,5,15586,2573190,Debit,Bandung,3.9,Dikirim,Website
151,2025-10-02,Ridwan,"Hair Dryer Philips",Kecantikan,5,211663,1058320,0,12727,1071040,Debit,Bali,4.8,Pending,Marketplace
152,2025-10-24,Yusuf,"Sabun Muka Garnier",Kecantikan,4,60019,240076,0,16700,256776,E-Wallet,Bekasi,4.3,Selesai,"Mobile App"
153,2025-10-11,Eka,"Jam Tangan Casio",Fashion,1,165358,165358,0,10547,175905,"Kartu Kredit",Depok,3.5,Dikirim,Marketplace
154,2025-10-03,Andi,"Topi Baseball",Fashion,2,185353,370706,20,33015,329580,COD,Bandung,3.7,Dikirim,Marketplace
155,2025-10-05,Budi,"iPhone 15",Elektronik,2,9476260,18952500,5,45615,18050500,E-Wallet,Bali,3.6,Selesai,Website
156,2025-10-27,Tono,"Minyak Goreng 2L",Groceries,2,34327,68654,0,10216,78870,COD,Tangerang,3.5,Selesai,"Mobile App"
157,2025-10-06,Siti,"Eyeliner Revlon",Kecantikan,2,60364,120728,0,13055,133783,COD,Medan,4.3,Dikirim,Website
158,2025-10-05,Maya,"Parfum Dior",Kecantikan,2,42795,85590,0,13618,99208,COD,Bali,4.2,Dikirim,"Mobile App"
159,2025-10-15,Fauzan,"Lipstik Wardah",Kecantikan,1,220454,220454,20,14579,190942,E-Wallet,Medan,4.3,Selesai,"Mobile App"
160,2025-10-31,Arif,"Kopi Bubuk 1kg",Groceries,3,183824,551472,5,30605,554503,"Kartu Kredit",Jakarta,4.7,Dibatalkan,"Mobile App"
161,2025-10-08,Ahmad,"Sabun Muka Garnier",Kecantikan,3,298064,894192,20,25054,740408,Debit,Jakarta,4.5,Selesai,"Mobile App"
162,2025-10-03,Andi,"Kamera Canon EOS",Elektronik,2,13192400,26384800,20,45174,21153000,Debit,Tangerang,3.8,Selesai,Marketplace
163,2025-10-14,Fani,"Masker Naturgo",Kecantikan,4,52983,211932,0,46101,258033,COD,Depok,4.9,Selesai,"Mobile App"
164,2025-10-13,Maya,"Susu UHT 1L",Groceries,2,183821,367642,0,13663,381305,E-Wallet,Surabaya,3.7,Selesai,Website
165,2025-10-03,Dewanto,"Printer Canon",Elektronik,3,12722400,38167300,5,17015,36275900,COD,Bandung,4.7,Dikirim,Website
166,2025-10-30,Wulan,"Kipas Angin Miyako",Elektronik,1,14381300,14381300,5,47896,13710200,COD,Depok,4.1,Selesai,"Mobile App"
167,2025-10-23,Fauzan,"Bedak Maybelline",Kecantikan,5,238801,1194000,5,49223,1183530,E-Wallet,Surabaya,4.8,Dibatalkan,Website
168,2025-10-07,Mega,"Topi Baseball",Fashion,5,236073,1180360,0,43085,1223450,"Kartu Kredit",Tangerang,4.5,Selesai,Marketplace
169,2025-10-09,Yoga,"Eyeliner Revlon",Kecantikan,4,135012,540048,5,17504,530550,"Kartu Kredit",Medan,4.5,Selesai,Website
170,2025-10-24,Vina,"Printer Canon",Elektronik,1,3137820,3137820,5,17545,2998480,COD,Tangerang,4.6,Selesai,Marketplace
171,2025-10-19,Agus,"Jam Tangan Casio",Fashion,3,219954,659862,0,14570,674432,E-Wallet,Surabaya,4.8,Selesai,Marketplace
172,2025-10-17,Arif,"Eyeliner Revlon",Kecantikan,1,123786,123786,10,46979,158386,COD,Surabaya,4.1,Selesai,"Mobile App"
173,2025-10-04,Rian,"Shampo Pantene",Kecantikan,1,177605,177605,10,39261,199106,"Kartu Kredit",Jakarta,4.1,Selesai,Website
174,2025-10-06,Rina,"Eyeliner Revlon",Kecantikan,3,247198,741594,10,31096,698531,COD,Bekasi,3.6,Dikirim,Marketplace
175,2025-10-25,Bella,"Kemeja Putih",Fashion,4,272717,1090870,5,44089,1080410,Debit,Bali,3.6,Dibatalkan,"Mobile App"
176,2025-10-15,Rahmat,"Sepatu Nike Air",Fashion,4,167454,669816,5,39521,675846,"Kartu Kredit",Tangerang,4.9,Dikirim,Marketplace
177,2025-10-15,Tia,"Hair Dryer Philips",Kecantikan,3,80722,242166,5,27418,257476,"Kartu Kredit",Jakarta,4,Dikirim,Website
178,2025-10-22,Miko,"Gula Pasir 1kg",Groceries,3,51769,155307,0,25101,180408,"Kartu Kredit",Bandung,3.9,Dikirim,"Mobile App"
179,2025-10-29,Dina,"Serum Wajah",Kecantikan,1,198555,198555,0,22142,220697,E-Wallet,Depok,4,Selesai,"Mobile App"
180,2025-10-24,Sari,"Kaos Polos",Fashion,1,38402,38402,15,31803,64444.7,Debit,Bekasi,4.8,Selesai,"Mobile App"
181,2025-10-15,Tari,"Gula Pasir 1kg",Groceries,4,152056,608224,0,44066,652290,Debit,Bandung,4.9,Selesai,Marketplace
182,2025-10-05,Dewi,"Telur 1kg",Groceries,1,297206,297206,0,32634,329840,"Kartu Kredit",Depok,4.8,Selesai,"Mobile App"
183,2025-10-16,Dina,"Printer Canon",Elektronik,5,7853830,39269100,0,40973,39310100,E-Wallet,Surabaya,4.2,Selesai,"Mobile App"
184,2025-10-01,Fauzan,"Tas Kulit",Fashion,2,85416,170832,5,21928,184218,Debit,Medan,3.6,Selesai,"Mobile App"
185,2025-10-11,Rahmat,"Sweater Rajut",Fashion,5,116993,584965,0,22131,607096,COD,Bali,4,Selesai,Marketplace
186,2025-10-02,Rara,"Sepatu Nike Air",Fashion,5,120494,602470,0,40191,642661,"Kartu Kredit",Bandung,3.6,Selesai,"Mobile App"
187,2025-10-27,Rahmat,"Jam Tangan Casio",Fashion,3,12374,37122,15,37505,69058.7,Debit,Tangerang,4.4,Selesai,Website
188,2025-10-04,Putri,"Celana Jeans",Fashion,4,45178,180712,5,44241,215917,E-Wallet,Bekasi,4.8,Selesai,"Mobile App"
